194308,1.4077,1.1736
194309,2.4974,3.2422
194310,-1.7459,-0.8588
194311,-4.8076,-12.768
194312,5.3055,7.8386
194401,0.6633,9.1275
194402,0.0969,4.7096
194403,2.6772,5.0739
194404,-1.2439,-1.2181
194405,4.4244,6.9633
194406,5.5149,5.2524
194407,-1.9723,-0.5295
194408,1.7379,0.1025
194409,0.484,0.1527
194410,-0.2982,0.8241
194411,1.0686,3.8827
194412,2.1536,11.8035
194501,1.0247,1.1586
194502,5.2451,8.837
194503,-3.8402,-3.6548
194504,7.6007,11.0384
194505,1.6437,1.5367
194506,-2.0803,2.0752
194507,-1.3801,-4.5359
194508,8.9008,2.5879
194509,5.0524,5.779
194510,2.0864,4.3259
194511,2.1188,9.1421
194512,1.7645,-1.0358
194601,6.1447,7.8356
194602,-5.8644,-7.6093
194603,4.5901,3.8128
194604,3.4075,1.8983
194605,2.5552,5.6884
194606,-4.3054,-2.7736
194607,-2.1116,-2.5025
194608,-5.9585,-6.7107
194609,-9.8048,-13.0861
194610,-2.3752,0.9772
194611,-0.2505,-0.7096
194612,5.2999,3.6553
194701,2.3791,1.3864
194702,0.6994,-2.4915
194703,-1.7298,-2.1532
194704,-4.7241,-3.8912
194705,-0.8517,-2.1204
194706,6.1342,4.3785
194707,3.3851,7.2487
194708,-1.7635,-2.9698
194709,-0.5685,-0.5747
194710,1.7815,3.5963
194711,-1.7221,-1.4663
194712,1.6615,7.4974
194801,-4.8956,-4.2191
194802,-4.5961,-3.8117
194803,7.3012,10.5421
194804,1.9796,7.7928
194805,8.6767,7.6605
194806,-0.4512,2.8745
194807,-5.1498,-5.3409
194808,1.1105,1.3294
194809,-2.4419,-2.824
194810,6.4174,6.5098
194811,-8.2861,-14.0692
194812,5.2845,2.2692
194901,0.7646,1.7705
194902,-2.5913,-5.6209
194903,4.3291,4.063
194904,-1.9567,-2.0919
194905,-1.9027,-5.7929
194906,1.1257,-3.1749
194907,5.5791,7.2057
194908,2.8675,2.0008
194909,2.8225,4.2442
194910,3.6555,2.0617
194911,3.3359,2.1295
194912,5.8787,7.3646
195001,0.9148,5.6445
195002,2.0084,1.3857
195003,1.9653,-0.2297
195004,5.3265,4.3014
195005,4.9076,2.16
195006,-5.5822,-7.1951
195007,-3.9019,12.8347
195008,6.6912,2.8199
195009,5.3069,3.1557
