Date,GME,AAPL,FB,AMZN,INTC,GS,BLK,NKE,MSFT,WFC
2015-05-22,40.79999923706055,33.1349983215332,80.54000091552734,427.6300048828125,33.45000076293945,207.8000030517578,368.0799865722656,52.21500015258789,46.900001525878906,56.0
2015-05-26,40.18000030517578,32.404998779296875,79.33000183105469,425.4700012207031,33.099998474121094,206.3800048828125,365.0299987792969,51.709999084472656,46.59000015258789,55.65999984741211
2015-05-27,39.470001220703125,33.0099983215332,80.55000305175781,431.4200134277344,33.709999084472656,209.05999755859375,368.67999267578125,51.41999816894531,47.61000061035156,56.06999969482422
2015-05-28,40.91999816894531,32.94499969482422,80.1500015258789,426.57000732421875,34.0099983215332,208.47999572753906,369.510009765625,51.150001525878906,47.45000076293945,56.209999084472656
2015-05-29,43.40999984741211,32.56999969482422,79.19000244140625,429.2300109863281,34.459999084472656,206.19000244140625,365.7799987792969,50.834999084472656,46.86000061035156,55.959999084472656
2015-06-01,43.470001220703125,32.6349983215332,80.29000091552734,430.9200134277344,33.90999984741211,207.80999755859375,364.2699890136719,50.880001068115234,47.22999954223633,56.040000915527344
2015-06-02,43.970001220703125,32.4900016784668,80.44000244140625,430.989990234375,33.27000045776367,206.42999267578125,363.3999938964844,51.05500030517578,46.91999816894531,56.18000030517578
2015-06-03,43.720001220703125,32.529998779296875,82.44000244140625,436.5899963378906,32.72999954223633,208.2899932861328,364.95001220703125,51.255001068115234,46.849998474121094,56.90999984741211
2015-06-04,44.02000045776367,32.34000015258789,82.05000305175781,430.7799987792969,32.310001373291016,208.8699951171875,357.8299865722656,50.974998474121094,46.36000061035156,56.13999938964844
2015-06-05,44.13999938964844,32.162498474121094,82.13999938964844,426.95001220703125,31.84000015258789,210.4499969482422,355.32000732421875,51.01499938964844,46.13999938964844,56.61000061035156
2015-06-08,43.04999923706055,31.950000762939453,80.66999816894531,423.5,31.299999237060547,209.7899932861328,353.45001220703125,50.720001220703125,45.72999954223633,56.119998931884766
2015-06-09,42.900001525878906,31.854999542236328,80.66999816894531,425.4800109863281,31.25,209.02000427246094,352.7300109863281,50.67499923706055,45.650001525878906,56.70000076293945
2015-06-10,42.849998474121094,32.220001220703125,82.16000366210938,430.7699890136719,31.81999969482422,213.1300048828125,355.6099853515625,51.66999816894531,46.61000061035156,57.209999084472656
2015-06-11,43.0,32.147499084472656,81.83000183105469,432.9700012207031,31.850000381469727,213.94000244140625,356.80999755859375,51.939998626708984,46.439998626708984,57.2599983215332
2015-06-12,42.959999084472656,31.792499542236328,81.52999877929688,429.9200134277344,31.31999969482422,213.05999755859375,353.42999267578125,51.88999938964844,45.970001220703125,57.09000015258789
2015-06-15,42.52000045776367,31.729999542236328,80.70999908447266,423.6700134277344,31.389999389648438,211.75999450683594,355.2799987792969,51.67499923706055,45.47999954223633,56.97999954223633
2015-06-16,42.5099983215332,31.899999618530273,81.05999755859375,427.260009765625,31.639999389648438,213.55999755859375,357.2799987792969,52.279998779296875,45.83000183105469,57.220001220703125
2015-06-17,43.029998779296875,31.825000762939453,81.79000091552734,427.80999755859375,31.950000762939453,212.92999267578125,357.29998779296875,52.375,45.970001220703125,57.16999816894531
2015-06-18,43.189998626708984,31.969999313354492,82.91000366210938,439.3900146484375,32.380001068115234,214.60000610351562,360.8800048828125,53.0,46.720001220703125,57.70000076293945
2015-06-19,43.09000015258789,31.649999618530273,82.51000213623047,434.9200134277344,32.06999969482422,213.19000244140625,359.19000244140625,53.26499938964844,46.099998474121094,57.04999923706055
2015-06-22,43.88999938964844,31.90250015258789,84.73999786376953,436.2900085449219,32.2599983215332,216.50999450683594,358.9599914550781,53.39500045776367,46.22999954223633,57.90999984741211
2015-06-23,44.36000061035156,31.75749969482422,87.87999725341797,445.989990234375,32.09000015258789,218.39999389648438,360.1499938964844,53.599998474121094,45.90999984741211,57.88999938964844
2015-06-24,44.54999923706055,32.02750015258789,88.86000061035156,440.8399963378906,31.90999984741211,214.42999267578125,355.57000732421875,53.11000061035156,45.63999938964844,57.540000915527344
2015-06-25,43.65999984741211,31.875,87.9800033569336,440.1000061035156,31.989999771118164,212.82000732421875,351.1300048828125,52.61000061035156,45.650001525878906,57.16999816894531
2015-06-26,44.040000915527344,31.6875,88.01000213623047,438.1000061035156,31.020000457763672,213.1699981689453,354.4700012207031,54.85499954223633,45.2599983215332,57.439998626708984
2015-06-29,42.77000045776367,31.13249969482422,85.80000305175781,429.8599853515625,30.389999389648438,207.64999389648438,344.5400085449219,53.834999084472656,44.369998931884766,56.060001373291016
2015-06-30,42.959999084472656,31.357500076293945,85.7699966430664,434.0899963378906,30.420000076293945,208.7899932861328,345.9800109863281,54.0099983215332,44.150001525878906,56.2400016784668
2015-07-01,44.119998931884766,31.649999618530273,86.91000366210938,437.3900146484375,30.18000030517578,209.94000244140625,347.3999938964844,54.71500015258789,44.45000076293945,56.90999984741211
2015-07-02,43.560001373291016,31.610000610351562,87.29000091552734,437.7099914550781,30.559999465942383,209.1999969482422,345.3999938964844,54.935001373291016,44.400001525878906,56.7400016784668
2015-07-06,44.31999969482422,31.5,87.55000305175781,436.0400085449219,30.040000915527344,208.0399932861328,342.80999755859375,54.91999816894531,44.38999938964844,56.439998626708984
2015-07-07,46.029998779296875,31.422500610351562,87.22000122070312,436.7200012207031,29.899999618530273,208.2100067138672,342.6099853515625,55.64500045776367,44.29999923706055,56.25
2015-07-08,45.7400016784668,30.642499923706055,85.6500015258789,429.70001220703125,29.5,204.05999755859375,334.1199951171875,54.6349983215332,44.2400016784668,55.25
