"","DATE","brazil","canada","china","denmark","hong kong","india","japan","s korea","malaysia","mexico","norway","sweden","s africa","singapore","sri lanka","switzerland","taiwan","thailand","australia","euro","new zealand","uk","venezuela"
"7306",1999-01-04,1.2074,1.5268,8.2793,6.307,7.7465,42.6,112.15,1187.5,3.8,9.831,7.496,8.02,5.8675,1.6583,68.43,1.3666,32.13,36.2,1.61759948236817,0.846596681341009,1.87265917602996,0.603099933659007,0.5655
"7307",1999-01-05,1.2075,1.5213,8.2795,6.326,7.7475,42.56,111.15,1166,3.8,9.796,7.434,7.972,5.7625,1.671,68.41,1.3694,32.25,36.18,1.60849284220685,0.850340136054422,1.86219739292365,0.603646021972715,0.566
"7308",1999-01-06,1.211,1.511,8.2795,6.364,7.7482,42.55,112.78,1160,3.8,9.78,7.4355,7.936,5.6775,1.6775,68.41,1.3852,32.25,36.5,1.59108989657916,0.85940185630801,1.85701021355617,0.604339155133861,0.5658
"7309",1999-01-07,1.21,1.5117,8.2798,6.383,7.7478,42.55,111.69,1151,3.8,9.83,7.405,7.915,5.84,1.6713,68.51,1.3863,32.13,36.3,1.57728706624606,0.856751199451679,1.85013876040703,0.606244316459533,0.5665
"7310",1999-01-08,1.2095,1.5145,8.2796,6.4435,7.749,42.55,111.52,1174,3.8,9.8105,7.397,7.9285,5.835,1.6765,68.48,1.397,32.22,36.45,1.58077774264938,0.865501125151463,1.85185185185185,0.609570252971655,0.5671
"7311",1999-01-11,1.2099,1.5072,8.2797,6.452,7.7483,42.55,108.83,1175,3.8,9.956,7.42,7.851,5.98,1.672,68.57,1.3963,32.2,36.28,1.56372165754496,0.867001907404196,1.82882223847842,0.610687022900763,0.5673
"7312",1999-01-12,1.2108,1.5095,8.2795,6.4465,7.7495,42.55,112.07,1180,3.8,10.1,7.4218,7.8,6.033,1.68,68.67,1.389,32.26,36.46,1.56225589751601,0.865950813993765,1.82681768359518,0.613195977434388,0.5678
"7313",1999-01-13,1.321,1.53,8.2794,6.365,7.7457,42.53,113.46,1175,3.8,10.6,7.4725,7.807,6.125,1.687,68.64,1.3585,32.23,37.05,1.58478605388273,0.854846982390152,1.84842883548983,0.606317831807433,0.5685
"7314",1999-01-14,1.32,1.5285,8.279,6.3685,7.7482,42.55,113.25,1187.5,3.8,10.53,7.472,7.805,6.24,1.6765,68.25,1.3618,32.33,37.05,1.58353127474268,0.855505175806314,1.85528756957328,0.604960677555959,0.5693
"7315",1999-01-15,1.48,1.529,8.279,6.422,7.7485,42.5,114.19,1185,3.8,10.29,7.485,7.874,6.08,1.68,68.55,1.3785,32.26,36.55,1.57728706624606,0.862738331464067,1.85013876040703,0.606060606060606,0.5707
"7317",1999-01-19,1.6,1.5302,8.2787,6.415,7.749,42.55,113.76,1176.5,3.8,10.27,7.4429,7.757,6.055,1.6832,68.6,1.3752,32.4,36.45,1.56617071260767,0.861326442721791,1.86462800671266,0.604229607250755,0.5708
"7318",1999-01-20,1.58,1.5226,8.2791,6.432,7.749,42.55,113.45,1168,3.8,10.195,7.4235,7.722,6.025,1.679,68.58,1.3902,32.3,36.5,1.56298843388559,0.863930885529158,1.85185185185185,0.607275156373353,0.5703
"7319",1999-01-21,1.71,1.5155,8.2789,6.4165,7.7483,42.54,113.75,1174,3.8,10.29,7.4435,7.7355,6.07,1.67,68.75,1.3855,32.31,36.47,1.56347717323327,0.863781636002419,1.84604024367731,0.605473480261565,0.5713
"7320",1999-01-22,1.7,1.519,8.2787,6.416,7.7502,42.55,114.65,1181,3.8,10.2025,7.465,7.73,6.045,1.6798,68.69,1.3829,32.35,36.9,1.5752993068683,0.863408737696426,1.86393289841566,0.603864734299517,0.5725
"7321",1999-01-25,1.79,1.5153,8.2784,6.43,7.7502,42.55,113.8,1181,3.8,10.23,7.45,7.7225,6.0525,1.6875,68.9,1.3823,32.5,36.9,1.58503724837534,0.864603147155456,1.8723085564501,0.603755358328805,0.5725
"7322",1999-01-26,1.86,1.52,8.278,6.4265,7.7497,42.52,114.03,1177,3.8,10.22,7.444,7.706,6.04,1.6835,68.74,1.387,32.5,36.75,1.58604282315623,0.863781636002419,1.86671644577189,0.602954476936991,0.573
"7323",1999-01-27,1.89,1.5215,8.2778,6.483,7.7492,42.52,115.62,1176,3.8,10.17,7.465,7.7155,6.025,1.689,68.8,1.4012,32.36,36.9,1.59413358839471,0.871004267920913,1.86567164179104,0.606612071580224,0.5735
"7324",1999-01-28,1.94,1.5263,8.2778,6.5295,7.7495,42.55,116.36,1176.5,3.8,10.1775,7.515,7.7725,6.045,1.6892,68.88,1.4165,32.38,37,1.59795461808885,0.877577885037297,1.87195806813927,0.607164541590771,0.5742
"7325",1999-01-29,2.07,1.5095,8.2778,6.542,7.7485,42.54,116,1176,3.8,10.152,7.523,7.787,6.07,1.6925,69.1,1.4168,32.34,36.92,1.58805780530411,0.879430129276229,1.85632077222944,0.607644163577809,0.5738
"7326",1999-02-01,1.97,1.5085,8.2775,6.575,7.7489,42.55,115.09,1176,3.8,10.12,7.556,7.833,6.041,1.691,68.93,1.4232,32.3,36.85,1.57828282828283,0.884720870565337,1.84162062615101,0.60938452163315,0.5761
"7327",1999-02-02,1.81,1.5124,8.2775,6.559,7.7497,42.54,112.12,1171,3.8,10.095,7.585,7.837,6.01,1.685,68.71,1.4111,32.34,36.75,1.56225589751601,0.882768361581921,1.8348623853211,0.608642726719416,0.5766
"7328",1999-02-03,1.8,1.5135,8.2776,6.555,7.7492,42.5,112.46,1171.5,3.8,10.125,7.615,7.865,6.015,1.6865,68.8,1.4135,32.3,36.7,1.55884645362432,0.881911985183879,1.81818181818182,0.610687022900763,0.577
"7329",1999-02-04,1.825,1.493,8.2776,6.573,7.7495,42.52,112.03,1171.6,3.8,10.115,7.643,7.843,6.05,1.6868,68.8,1.417,32.4,36.85,1.54083204930663,0.884486113568017,1.806684733514,0.609942055504727,0.5768
"7330",1999-02-05,1.85,1.488,8.2776,6.594,7.7498,42.5,113.14,1171.2,3.8,10.09,7.661,7.855,5.975,1.6885,68.83,1.4173,32.3,36.82,1.53444836581249,0.886289107506869,1.81554103122731,0.610873549175321,0.577
"7331",1999-02-08,1.89,1.4875,8.2776,6.583,7.7495,42.5,114.38,1177,3.8,10.0925,7.638,7.862,5.965,1.6905,68.97,1.4175,32.29,37,1.53374233128834,0.885269121813031,1.78667143112382,0.610500610500611,0.577
"7332",1999-02-09,1.91,1.4935,8.2776,6.5795,7.7495,42.5,114.42,1177,3.8,10.08,7.65,7.8845,6.1,1.693,68.6,1.4183,32.32,37.13,1.5460729746444,0.884955752212389,1.80310133429499,0.61143381228982,0.5775
"7333",1999-02-10,1.91,1.4943,8.2776,6.5625,7.749,42.45,114.45,1179,3.8,10.063,7.64,7.885,6.0895,1.6915,68.6,1.4083,32.31,37.1,1.54966682163335,0.8825346394846,1.81488203266788,0.613873542050338,0.5783
"7334",1999-02-11,1.9,1.4889,8.2776,6.579,7.7495,42.51,114.7,1176.4,3.8,10.002,7.6305,7.89,6.07,1.689,69,1.4154,32.36,37.05,1.53964588144727,0.884720870565337,1.81455271275631,0.615611918246737,0.5784
"7335",1999-02-12,1.9,1.4925,8.2776,6.5915,7.75,42.6,114.32,1176.7,3.7997,9.95,7.6215,7.883,6.1055,1.6913,69.12,1.4157,32.35,36.95,1.54726907009129,0.886367665307569,1.82049881667577,0.613083195389614,0.5781
"7337",1999-02-16,1.91,1.5,8.2787,6.6425,7.7482,42.51,118.08,1176,3.8,9.9225,7.737,7.933,6.135,1.6965,69,1.429,32.38,36.9,1.56739811912226,0.893734918223255,1.85804533630621,0.612857755714899,0.578
"7338",1999-02-17,1.93,1.4995,8.2787,6.623,7.7482,42.5,119.03,1176,3.8,9.884,7.75,7.93,6.16,1.6985,69.2,1.4247,32.4,37.05,1.57828282828283,0.890471950133571,1.86115764005211,0.612070020810381,0.578
"7339",1999-02-18,1.91,1.4873,8.2787,6.625,7.7488,42.51,119.82,1183,3.8,9.885,7.796,7.966,6.18,1.7018,69.22,1.425,32.4,37.1,1.5748031496063,0.891027354539784,1.85597624350408,0.612070020810381,0.5776
"7340",1999-02-19,1.94,1.4905,8.2787,6.71,7.749,42.47,121,1206,3.8,9.935,7.833,8.02,6.26,1.7085,69.31,1.4462,32.5,37.65,1.56862745098039,0.90293453724605,1.84774575018477,0.615195324515534,0.5778
"7341",1999-02-22,1.96,1.4972,8.2787,6.742,7.7486,42.43,120.35,1218,3.8,9.93,7.844,8.073,6.2,1.7125,69.39,1.4483,33.2,37.7,1.5625,0.906043308870164,1.8450184501845,0.615839389087326,0.5775
"7342",1999-02-23,2.04,1.4975,8.2787,6.76,7.7477,42.48,121.45,1213,3.8,9.95,7.87,8.1,6.2225,1.722,69.28,1.4495,33.1,37.56,1.56445556946183,0.909669789866279,1.86115764005211,0.619655471557814,0.5784
"7343",1999-02-24,2.01,1.499,8.2787,6.782,7.7491,42.6,121.9,1219,3.8,9.938,7.913,8.145,6.2045,1.7285,69.46,1.452,33.2,37.65,1.58353127474268,0.911410864017499,1.88323917137476,0.625782227784731,0.577
"7344",1999-02-25,2.04,1.505,8.2789,6.7195,7.7487,42.6,119.26,1225,3.8,9.995,7.8625,8.115,6.19,1.7235,69.54,1.4345,33.14,37.47,1.59438775510204,0.903505601734731,1.89825360668185,0.62266500622665,0.577
"7345",1999-02-26,2.09,1.509,8.279,6.765,7.748,42.83,118.7,1224.5,3.8,9.9365,7.9105,8.1915,6.205,1.7231,69.56,1.4495,33.13,37.32,1.6116035455278,0.909504320145521,1.9047619047619,0.623947089286829,0.5753
"7346",1999-03-01,2.05,1.524,8.2792,6.82,7.7474,42.54,119.79,1222,3.8,9.915,7.95,8.255,6.2325,1.7262,69.56,1.462,33.05,37.39,1.61838485191779,0.918189330639978,1.90949016612564,0.622742558226429,0.5758
"7347",1999-03-02,2.17,1.52,8.2789,6.805,7.748,42.58,120.47,1225.5,3.8,9.951,7.925,8.237,6.2475,1.7345,69.61,1.4582,33.1,37.57,1.6116035455278,0.914829384319824,1.89358076121947,0.619770684846607,0.5767
"7348",1999-03-03,2.2,1.5268,8.2789,6.8296,7.749,42.58,121.68,1230.4,3.8,9.965,7.941,8.262,6.25,1.737,69.62,1.461,33.15,37.65,1.60513643659711,0.91844232182219,1.89143181388311,0.61980909879757,0.5763
"7349",1999-03-04,2.11,1.5255,8.2783,6.8668,7.7495,42.55,123.5,1241,3.8,9.935,7.9438,8.2779,6.249,1.7365,69.65,1.47,33.2,37.88,1.60205062479974,0.923872875092387,1.89465706707086,0.622471210706505,0.5765
"7350",1999-03-05,2,1.5167,8.2784,6.851,7.749,42.55,122.57,1243,3.8,9.876,7.905,8.2385,6.213,1.7275,69.9,1.4686,33.4,37.47,1.59108989657916,0.922253988748501,1.88146754468485,0.62216138866422,0.577
"7351",1999-03-08,1.975,1.5145,8.2786,6.815,7.7485,42.56,121.73,1240.5,3.8,9.838,7.8575,8.205,6.2,1.7282,69.9,1.4612,33.2,37.15,1.58604282315623,0.91751536838242,1.87793427230047,0.621697233447311,0.5775
"7352",1999-03-09,1.92,1.5169,8.2791,6.8375,7.7483,42.53,121.4,1236.5,3.8,9.7945,7.8575,8.189,6.1675,1.7303,69.75,1.4675,33.22,37.27,1.57306905773163,0.919709371838499,1.87055742611298,0.619271736437949,0.5773
"7353",1999-03-10,1.87,1.524,8.2788,6.785,7.7492,42.5,119.84,1234.9,3.8,9.8,7.813,8.112,6.1475,1.7295,69.7,1.4566,33.15,37.48,1.5748031496063,0.912325517744731,1.86846038863976,0.614741501198746,0.5783
"7354",1999-03-11,1.895,1.522,8.2789,6.8025,7.75,42.48,119.57,1231,3.8,9.75,7.8,8.094,6.16,1.7358,69.72,1.4685,33.15,38.65,1.57109190887667,0.914745700695207,1.87265917602996,0.614628149969269,0.5793
"7355",1999-03-12,1.91,1.5235,8.2789,6.797,7.749,42.52,118.99,1235,3.8,9.77,7.805,8.115,6.185,1.732,69.68,1.4608,33.16,37.45,1.57232704402516,0.91441111923921,1.87265917602996,0.612182430364249,0.58
"7356",1999-03-15,1.88,1.5286,8.2789,6.8045,7.75,42.5,117.7,1232,3.8,9.69,7.842,8.1675,6.215,1.7178,69.55,1.466,33.12,37.38,1.58353127474268,0.914913083257091,1.87793427230047,0.616408802317697,0.5795
"7357",1999-03-16,1.86,1.5285,8.2789,6.808,7.75,42.5,117.74,1230,3.8,9.68,7.826,8.21,6.257,1.7222,69.65,1.4665,33.14,37.28,1.59744408945687,0.916170407695831,1.89000189000189,0.615763546798029,0.5789
"7358",1999-03-17,1.89,1.5222,8.2788,6.7425,7.7502,42.5,118.15,1228,3.8,9.683,7.739,8.15,6.232,1.724,69.35,1.4483,33.2,37.3,1.59413358839471,0.907852927825692,1.89753320683112,0.613421666053245,0.5803
"7359",1999-03-18,1.87,1.5186,8.2788,6.7595,7.7505,42.5,117.53,1226,3.8,9.64,7.698,8.11,6.26,1.7238,69.55,1.4534,33.1,37.445,1.58704967465482,0.909918107370337,1.8796992481203,0.613873542050338,0.5808
"7360",1999-03-19,1.855,1.5158,8.2793,6.7964,7.7502,42.5,117.05,1220,3.8,9.675,7.7169,8.1747,6.19,1.7235,69.42,1.462,33.11,37.47,1.58629441624365,0.915499404925387,1.88430374976446,0.613384039747286,0.5808
"7361",1999-03-22,1.87,1.5078,8.2792,6.8159,7.7495,42.5,118.14,1224,3.8,9.715,7.746,8.198,6.175,1.7297,69.52,1.464,33.13,37.59,1.57828282828283,0.916170407695831,1.87476565429321,0.614250614250614,0.5813
"7362",1999-03-23,1.855,1.5065,8.2795,6.8145,7.749,42.5,118.02,1226.5,3.8,9.67,7.744,8.198,6.24,1.7315,69.52,1.4586,33.15,37.53,1.56690692572861,0.915918666422422,1.86393289841566,0.610798924993892,0.5823
"7363",1999-03-24,1.845,1.504,8.2796,6.807,7.7492,42.5,117.35,1224.4,3.8,9.6875,7.75,8.25,6.2025,1.7253,69.4,1.4575,33.15,37.6,1.56396621832968,0.915667063455727,1.85048112509252,0.60938452163315,0.5835
"7364",1999-03-25,1.805,1.5105,8.2798,6.839,7.7495,42.5,118.05,1225,3.8,9.645,7.767,8.258,6.205,1.7272,69.4,1.4681,33.175,37.65,1.57158573000157,0.919878576027964,1.86115764005211,0.612970454824078,0.5848
"7365",1999-03-26,1.77,1.5135,8.28,6.922,7.7495,42.5,120.3,1223.7,3.8,9.59,7.803,8.335,6.265,1.7355,69.37,1.4845,33.18,37.685,1.57430730478589,0.930838685655776,1.86567164179104,0.617093489663684,0.584
"7366",1999-03-29,1.775,1.5125,8.2797,6.938,7.7497,42.48,119.78,1226.2,3.8,9.514,7.795,8.345,6.2335,1.7331,69.38,1.4877,33.2,37.66,1.58152775581211,0.933184023889511,1.87406296851574,0.619578686493185,0.5832
"7367",1999-03-30,1.735,1.5125,8.28,6.9245,7.7493,42.5,120.1,1230,3.8,9.54,7.795,8.337,6.215,1.733,69.45,1.489,33.2,37.67,1.59489633173844,0.93179276928811,1.88394875659382,0.620539869686627,0.584
"7368",1999-03-31,1.72,1.5092,8.28,6.878,7.75,42.5,118.43,1228,3.8,9.521,7.728,8.213,6.17,1.7275,69.45,1.4775,33.17,37.58,1.57728706624606,0.925240562546262,1.87265917602996,0.619578686493185,0.5838
"7369",1999-04-01,1.73,1.5023,8.2796,6.897,7.7499,42.5,120.19,1225,3.8,9.5175,7.753,8.2465,6.17,1.7295,69.55,1.481,33.2,37.72,1.57381177211206,0.927471712112781,1.87090739008419,0.622548714436905,0.5838
"7370",1999-04-02,1.735,1.4968,8.2794,6.8945,7.75,42.5,120.6,1225.2,3.8,9.51,7.746,8.238,6.175,1.732,69.55,1.481,33.18,37.73,1.57604412923562,0.927471712112781,1.87441424554827,0.624102852150034,0.5838
"7371",1999-04-05,1.73,1.4972,8.2795,6.94,7.7505,42.5,122,1228,3.8,9.475,7.79,8.29,6.165,1.7358,69.5,1.4912,33.3,37.765,1.58353127474268,0.934055669717915,1.87793427230047,0.624414611301904,0.5838
"7372",1999-04-06,1.73,1.5035,8.2797,6.856,7.7495,42.75,120.74,1231,3.8,9.495,7.699,8.214,6.1725,1.7325,69.55,1.4725,33.32,37.76,1.59235668789809,0.922679461155195,1.88679245283019,0.628140703517588,0.584
"7373",1999-04-07,1.735,1.5005,8.2797,6.8945,7.7488,42.75,121.34,1223,3.8,9.498,7.763,8.298,6.195,1.7345,69.3,1.4807,33.3,37.77,1.59438775510204,0.927299703264095,1.8828845791753,0.625978090766823,0.5844
"7374",1999-04-08,1.725,1.4985,8.2799,6.8595,7.7485,42.76,120.85,1227,3.8,9.49,7.776,8.2685,6.22,1.7283,69.25,1.4724,33.3,37.8,1.60153747597694,0.922934933087217,1.88679245283019,0.621774544550146,0.5848
"7375",1999-04-09,1.71,1.5023,8.2797,6.888,7.7483,42.78,121.09,1226,3.8,9.587,7.7835,8.275,6.18,1.7328,69.3,1.4832,33.18,37.95,1.58831003811944,0.927127758205081,1.86811133943583,0.62235499128703,0.5858
"7376",1999-04-12,1.71,1.4945,8.2797,6.856,7.7495,42.77,120.14,1225,3.8,9.56,7.72,8.273,6.175,1.7235,69.46,1.4795,33.1,37.98,1.57654106889484,0.922339051835455,1.84331797235023,0.62007812984436,0.5863
"7377",1999-04-13,1.665,1.4898,8.2797,6.903,7.7505,42.9,120.04,1223,3.8,9.51,7.76,8.3,6.11,1.7175,69.46,1.49,33.1,37.95,1.57109190887667,0.927643784786642,1.8491124260355,0.619770684846607,0.5873
"7378",1999-04-14,1.67,1.4929,8.2794,6.8955,7.7492,42.85,118.89,1220,3.8,9.51,7.729,8.271,6.075,1.6933,69.46,1.4879,33,37.64,1.56788962057071,0.927729845069116,1.8450184501845,0.620193500372116,0.589
"7379",1999-04-15,1.67,1.4908,8.2789,6.94,7.75,42.9,119.04,1220,3.8,9.54,7.751,8.283,6.104,1.6945,69.65,1.4973,32.85,37.6,1.57257430413587,0.933096948772977,1.85253797702853,0.621002297708501,0.5883
"7380",1999-04-16,1.675,1.4865,8.2787,6.958,7.7485,42.75,117.86,1221,3.8,9.53,7.77,8.335,6.11,1.705,69.7,1.4993,32.9,37.4,1.54655119084442,0.93562874251497,1.83318056828598,0.620655412115194,0.5885
"7381",1999-04-19,1.675,1.4833,8.2787,7.008,7.7478,42.95,117.99,1215,3.8,9.378,7.7925,8.38,6.0475,1.705,69.55,1.5097,32.8,37.33,1.53421294875729,0.942684766214178,1.82381907714755,0.622083981337481,0.5888
"7382",1999-04-20,1.725,1.492,8.2783,6.988,7.748,42.9,118.18,1200,3.8,9.415,7.7925,8.388,6.0825,1.709,69.7,1.5065,32.75,37.4,1.54440154440154,0.940733772342427,1.82315405651778,0.619770684846607,0.5888
"7383",1999-04-21,1.74,1.4895,8.2783,7.004,7.7481,42.9,119.76,1195,3.8,9.3695,7.79,8.402,6.0825,1.713,69.68,1.508,32.75,37.6,1.54583397743082,0.942329438371655,1.82848784055586,0.622122682593007,0.5902
"7384",1999-04-22,1.702,1.481,8.2783,7.013,7.7493,42.81,119.84,1198,3.8,9.338,7.805,8.4,6.09,1.709,69.69,1.5095,32.8,37.57,1.53680651605963,0.943574259294206,1.82648401826484,0.620462865297512,0.59
"7385",1999-04-23,1.69,1.477,8.2784,6.9956,7.7498,42.85,119.26,1195,3.8,9.29,7.803,8.383,6.098,1.708,69.7,1.5071,32.75,37.6,1.53468385512584,0.940379913485048,1.82481751824817,0.618429189857761,0.5901
"7386",1999-04-26,1.702,1.4792,8.2793,7.02,7.75,42.9,119.13,1190,3.8,9.315,7.816,8.405,6.073,1.7,69.93,1.5132,32.75,37.7,1.54130702836005,0.944287063267233,1.82681768359518,0.620616893191833,0.5898
"7387",1999-04-27,1.7071,1.4788,8.2794,6.9805,7.7503,42.91,120.23,1185,3.8,9.3333,7.786,8.3575,6.07,1.7003,69.85,1.5085,32.75,37.67,1.53727901614143,0.93905531035778,1.82149362477231,0.618161587438957,0.59
"7388",1999-04-28,1.695,1.477,8.2791,7.0065,7.751,42.9,119.13,1182,3.8,9.3,7.807,8.3895,6.065,1.698,69.8,1.5137,32.7,37.45,1.52928582352042,0.94197437829691,1.81422351233672,0.619271736437949,0.5909
"7389",1999-04-29,1.671,1.467,8.2794,7.009,7.7503,42.86,119.26,1176,3.8,9.266,7.8,8.4022,6.0635,1.697,69.65,1.519,32.7,37.4,1.51906425641805,0.944197903880653,1.8001800180018,0.620925178515989,0.5914
"7390",1999-04-30,1.6625,1.4578,8.279,7.038,7.7508,42.84,119.43,1189,3.8,9.2425,7.8175,8.445,6.085,1.6965,69.65,1.5257,32.75,37.1,1.51057401812689,0.946611132146914,1.78412132024978,0.621697233447311,0.5921
"7391",1999-05-03,1.668,1.4512,8.279,7.0335,7.7506,42.85,120.14,1191,3.8,9.263,7.801,8.463,6.0575,1.7035,69.65,1.5252,32.75,37.39,1.50602409638554,0.945984296660676,1.7825311942959,0.621774544550146,0.5925
"7392",1999-05-04,1.678,1.454,8.2789,7.021,7.751,42.8,120.94,1197.1,3.8,9.277,7.785,8.472,6.0635,1.704,69.72,1.517,32.75,36.88,1.50943396226415,0.944019635608421,1.78986933953821,0.616903146206046,0.5943
"7393",1999-05-05,1.686,1.4558,8.2789,6.93,7.7513,42.8,120.91,1199,3.8,9.3275,7.731,8.4,6.1115,1.7005,69.8,1.4975,32.77,36.78,1.51194436044754,0.93248787765759,1.79372197309417,0.612107486074555,0.5955
"7394",1999-05-06,1.674,1.4555,8.2786,6.8965,7.752,42.8,120.77,1203,3.8,9.3375,7.662,8.33,6.095,1.701,69.85,1.492,32.795,37,1.49476831091181,0.927729845069116,1.77462289263531,0.610612444281614,0.5968
"7395",1999-05-07,1.672,1.4585,8.2783,6.892,7.7509,42.8,120.78,1203,3.8,9.347,7.6475,8.313,6.142,1.6985,69.89,1.491,32.78,36.83,1.49053510210165,0.927557740469344,1.7860332202179,0.611620795107034,0.5958
"7396",1999-05-10,1.653,1.4605,8.2787,6.883,7.751,42.8,120.68,1201.2,3.8,9.2985,7.6155,8.2885,6.172,1.6987,70.1,1.4895,32.83,36.8,1.49521531100478,0.927041809585612,1.78571428571429,0.613496932515337,0.5962
"7397",1999-05-11,1.649,1.4538,8.2782,6.931,7.7515,42.8,120.96,1199,3.8,9.2555,7.669,8.358,6.166,1.6972,70.35,1.4998,32.74,36.79,1.48986889153754,0.932835820895522,1.77904287493329,0.616712920135677,0.594
"7398",1999-05-12,1.66,1.4608,8.2783,6.9705,7.752,42.8,120.86,1206,3.8,9.324,7.706,8.395,6.2075,1.7003,70.57,1.5025,32.74,36.82,1.49925037481259,0.937558597412338,1.78571428571429,0.61755079355277,0.5964
"7399",1999-05-13,1.655,1.4598,8.2778,6.994,7.7518,42.8,121.67,1206.5,3.8,9.2675,7.718,8.425,6.216,1.706,70.74,1.508,32.75,37.05,1.4972301242701,0.941087897609637,1.78731009830206,0.617665225447807,0.596
"7400",1999-05-14,1.658,1.4635,8.2784,6.9785,7.7525,42.83,122.64,1208,3.8,9.3675,7.705,8.4175,6.2235,1.714,70.95,1.5058,32.79,37.22,1.50421179302046,0.938967136150235,1.79275726066691,0.618238021638331,0.5963
"7401",1999-05-17,1.672,1.4605,8.2785,6.967,7.7522,42.76,123.27,1207,3.8,9.3625,7.682,8.425,6.1925,1.7115,70.9,1.5013,32.79,37.25,1.50105073551486,0.937031484257871,1.78826895565093,0.61755079355277,0.5958
"7402",1999-05-18,1.67,1.4607,8.279,6.965,7.7539,42.77,123.24,1201,3.8,9.3,7.703,8.4375,6.155,1.7123,71.2,1.503,32.8,37.05,1.49142431021626,0.937031484257871,1.77999288002848,0.617169659939517,0.5965
"7403",1999-05-19,1.67,1.4661,8.2783,6.9845,7.7546,42.8,124.45,1200,3.8,9.312,7.759,8.461,6.185,1.7215,71.3,1.505,32.81,37.18,1.50761344791196,0.93976130062964,1.81192244971915,0.618238021638331,0.5968
"7404",1999-05-20,1.6975,1.4658,8.278,6.994,7.7544,42.8,124.15,1200,3.8,9.34,7.7665,8.445,6.215,1.7212,71.2,1.5083,32.85,37.13,1.51285930408472,0.940733772342427,1.82481751824817,0.620270437910929,0.597
"7405",1999-05-21,1.705,1.4595,8.278,7.029,7.7546,42.8,123.9,1194.5,3.8,9.37,7.7895,8.489,6.2025,1.7205,70.85,1.5175,32.855,37.15,1.51630022744503,0.945447669471495,1.83519911910442,0.624219725343321,0.5973
"7406",1999-05-24,1.703,1.4559,8.2785,7.016,7.7545,42.8,123.57,1189.5,3.8,9.4,7.792,8.471,6.215,1.7223,71.15,1.5115,32.8,37.1,1.51630022744503,0.944019635608421,1.82982616651418,0.625860558267618,0.5979
"7407",1999-05-25,1.753,1.4603,8.2789,7.0135,7.755,42.8,122.88,1186.6,3.8,9.5475,7.79,8.4875,6.2325,1.7255,70.8,1.505,32.77,37.17,1.51975683890577,0.944554642486068,1.83992640294388,0.624180762748892,0.598
"7408",1999-05-26,1.728,1.472,8.279,7.098,7.7557,42.95,122.03,1191.2,3.8,9.665,7.859,8.573,6.2625,1.7315,70.78,1.522,32.79,37.17,1.54035736290819,0.955018622863146,1.87441424554827,0.626448662532106,0.5987
"7409",1999-05-27,1.72,1.4755,8.2788,7.122,7.7556,43.45,121.27,1188.7,3.8,9.755,7.9055,8.614,6.27,1.731,70.92,1.5265,32.85,37.11,1.5420200462606,0.957946163425615,1.87125748502994,0.626684213824654,0.599
"7410",1999-05-28,1.734,1.4725,8.2786,7.131,7.7575,43.17,120.88,1186.1,3.8,9.7925,7.9045,8.598,6.2325,1.7235,70.9,1.528,32.8,37.15,1.53186274509804,0.959508731529457,1.86741363211951,0.624219725343321,0.5992
"7412",1999-06-01,1.741,1.483,8.2781,7.118,7.7557,43,120.75,1187.4,3.8,9.81,7.889,8.598,6.21,1.7227,70.85,1.523,32.8,37.1,1.55884645362432,0.957029380801991,1.8896447467876,0.619195046439629,0.5995
"7413",1999-06-02,1.7555,1.4805,8.2787,7.178,7.756,43,121.14,1186.2,3.8,9.775,7.9445,8.6405,6.2085,1.7267,71,1.5365,32.8,37.13,1.55159038013964,0.965530559042194,1.90258751902588,0.622083981337481,0.5995
"7414",1999-06-03,1.755,1.4768,8.2784,7.187,7.7567,43,121.5,1185,3.8,9.6575,7.9695,8.646,6.1975,1.7275,70.75,1.5375,32.8,37.08,1.54392465647676,0.965717044905843,1.90548780487805,0.622858922454064,0.5999
"7415",1999-06-04,1.735,1.4696,8.2781,7.207,7.7563,43,121.99,1184,3.8,9.615,7.9745,8.65,6.16,1.7268,70.85,1.5385,32.8,37.14,1.5255530129672,0.968335431393435,1.8796992481203,0.622122682593007,0.6006
"7416",1999-06-07,1.7425,1.4735,8.2781,7.213,7.7572,43.05,121.31,1184,3.8,9.4975,7.95,8.634,6.09,1.723,70.71,1.5425,32.65,37.1,1.51906425641805,0.971250971250971,1.88040616773223,0.624609618988132,0.6008
"7417",1999-06-08,1.75,1.47,8.2779,7.117,7.7575,43.05,119.88,1178.5,3.8,9.5,7.851,8.525,6.108,1.7122,70.87,1.525,32.6,36.97,1.51837230488916,0.958037938302357,1.88501413760603,0.623052959501558,0.6015
"7418",1999-06-09,1.75,1.4723,8.2778,7.1165,7.757,43.07,119.2,1166.5,3.8,9.565,7.87,8.557,6.134,1.712,70.83,1.525,32.55,37,1.51860288534548,0.956937799043062,1.87687687687688,0.624960939941254,0.602
"7419",1999-06-10,1.764,1.462,8.2777,7.0895,7.757,43.15,118.85,1167.5,3.8,9.6,7.8263,8.493,6.135,1.7155,70.91,1.524,32.55,36.91,1.50943396226415,0.954471699914098,1.86741363211951,0.624921884764404,0.602
