date,infl,corpr,Default Yield Spread (dfy) (rawdiff),excess_returns
1959-01-01,0.0034602076124568004,-0.0028,0.0075,
1959-02-01,-0.0034482758620689724,0.0126,0.0075,0.0005715028166288899
1959-03-01,0.0,-0.0083,0.007199999999999998,0.0010019524270472387
1959-04-01,0.0034602076124568004,-0.0172,0.0063,0.03935152388369101
1959-05-01,0.0,-0.0114,0.0058999999999999955,0.019259460652638373
1959-06-01,0.0034482758620690834,0.0044,0.0058,-0.0035275662663076224
1959-07-01,0.0034364261168384758,0.0089,0.006100000000000001,0.034864030102772
1959-08-01,0.0,-0.0068,0.006600000000000002,-0.014417401992182654
1959-09-01,0.0034246575342467,-0.0088,0.006600000000000002,-0.04608580236425364
1959-10-01,0.0034129692832762792,0.0165,0.007099999999999995,0.010883697702407494
1959-11-01,0.0,0.0135,0.007000000000000006,0.013219936363833165
1959-12-01,0.0,-0.0096,0.006999999999999999,0.026771592325577867
1960-01-01,-0.00340136054421758,0.0107,0.007299999999999994,-0.0719670876291443
1960-02-01,0.0034129692832762792,0.0128,0.007800000000000001,0.009097292403088666
1960-03-01,0.0,0.0191,0.007599999999999996,-0.014477453531820225
1960-04-01,0.003401360544217802,-0.0022,0.0075,-0.01644945125841267
1960-05-01,0.0,-0.0021,0.008199999999999999,0.027058695041711912
1960-06-01,0.003389830508474523,0.0141,0.008099999999999996,0.01997843769278025
1960-07-01,0.0,0.0257,0.008099999999999996,-0.02314420880779314
1960-08-01,0.0,0.0117,0.007999999999999993,0.027274298777525664
1960-09-01,0.0,-0.0063,0.007599999999999996,-0.05895701029542672
1960-10-01,0.006756756756756799,0.0008,0.00810000000000001,-0.0015853573739337472
1960-11-01,0.0,-0.007,0.0076999999999999985,0.04189553265886533
1960-12-01,0.0,0.0104,0.0075,0.04746937700945524
1961-01-01,0.0,0.0148,0.0077999999999999944,0.06388189261371725
1961-02-01,0.0,0.021,0.008000000000000007,0.028022250917369387
1961-03-01,0.0,-0.0029,0.008,0.026020825216856336
1961-04-01,0.0,-0.0116,0.007599999999999996,0.00461798068248024
1961-05-01,0.0,0.0049,0.007400000000000004,0.01976837481081353
1961-06-01,0.0,-0.008,0.007000000000000006,-0.02834512249301857
1961-07-01,0.006711409395973034,0.004,0.0068000000000000005,0.03342696529314406
1961-08-01,-0.0033333333333334103,-0.0018,0.006600000000000002,0.020613853566663634
1961-09-01,0.0033444816053511683,0.0144,0.006699999999999998,-0.018937943037410886
1961-10-01,0.0,0.0127,0.007100000000000002,0.028827639840955946
1961-11-01,0.0,0.0028,0.007200000000000012,0.040184014516015554
1961-12-01,0.0,-0.0026,0.0068000000000000005,0.0036775689833545974
1962-01-01,0.0,0.008,0.006600000000000002,-0.037822253432238814
1962-02-01,0.0033333333333334103,0.0052,0.006500000000000006,0.016691625652388353
1962-03-01,0.0,0.0151,0.006500000000000006,-0.005416207022272966
1962-04-01,0.0033222591362125353,0.0142,0.006899999999999996,-0.06155552273542377
1962-05-01,0.0,0.0,0.007199999999999998,-0.08552064733168367
1962-06-01,0.0,-0.0026,0.00739999999999999,-0.08070253677485029
1962-07-01,0.0033112582781458233,-0.0015,0.007099999999999995,0.06381926877121662
1962-08-01,0.0,0.0143,0.007100000000000002,0.015906705916845145
1962-09-01,0.0033003300330032292,0.0089,0.007100000000000002,-0.04722665030281615
1962-10-01,0.0,0.0068,0.007099999999999995,0.005034204108099684
1962-11-01,0.0,0.0062,0.007099999999999995,0.10238560627658044
1962-12-01,0.0,0.0023,0.0068000000000000005,0.01400480379045407
1963-01-01,0.0,0.0059,0.007000000000000006,0.049318032826457026
1963-02-01,0.0,0.0023,0.006999999999999992,-0.028373758219184673
1963-03-01,0.00328947368421062,0.0026,0.0068999999999999895,0.035855704913514835
1963-04-01,0.0,-0.0051,0.006600000000000002,0.04860711430392123
1963-05-01,0.0,0.0048,0.0063,0.014496480426993322
1963-06-01,0.003278688524590123,0.0043,0.006099999999999994,-0.019854906995892683
1963-07-01,0.0032679738562091387,0.0028,0.0058,-0.003503686338099241
1963-08-01,0.0,0.0035,0.005400000000000002,0.04878513656761968
1963-09-01,0.0,-0.0023,0.005299999999999999,-0.011165910001763334
1963-10-01,0.0032573289902280145,0.0049,0.0051,0.031832244662553535
1963-11-01,0.0,0.0015,0.0051,-0.01067110003994095
1963-12-01,0.0032467532467532756,-0.0034,0.0049999999999999975,0.024076192028613788
1964-01-01,0.0,0.0087,0.004400000000000008,0.02641043608228089
1964-02-01,0.0,0.0054,0.004700000000000003,0.009742865089280064
1964-03-01,0.0,-0.0062,0.004500000000000004,0.014525523409764199
1964-04-01,0.0,0.004,0.00449999999999999,0.00563854804379206
1964-05-01,0.0,0.0057,0.004399999999999994,0.011302771711311823
1964-06-01,0.003236245954692629,0.0048,0.004399999999999994,0.015851916569669892
1964-07-01,0.003225806451612856,0.0052,0.004299999999999998,0.017644110760567936
1964-08-01,-0.003215434083601365,0.0037,0.0040999999999999995,-0.01656540411039695
1964-09-01,0.003225806451612856,0.0021,0.0040000000000000036,0.0283335329931679
1964-10-01,0.0,0.005,0.0039000000000000007,0.007593671826647511
1964-11-01,0.003215434083601254,-0.0004,0.003799999999999998,-0.005636933530760765
1964-12-01,0.0,0.0088,0.003699999999999995,0.0032672367198981395
1965-01-01,0.0,0.0081,0.003700000000000002,0.03275152834095399
1965-02-01,0.0,0.0009,0.003700000000000002,-0.0020700692686673712
1965-03-01,0.0032051282051281937,0.0012,0.003600000000000006,-0.01565956474955816
